FILE;DOCUMENT;DELEGATION;Dates concerned;
Temporary reintroduction of border controls on the basis of Article 25 of the Community Code on the rules governing the movement of persons across borders (Schengen Borders Code);2006;;;
;"15332/06
Finland's international borders";FI del;13-29/11/06;
;"14285/06
Frontières terrestre entre la France et l'Espagne";FR del;21.10.06;
;"13837/06
Finland's international borders";FI del;9-21/10/06;
;"12349/06
Finland's international borders";FI del;25/8-12/9/06;
;"9119/06
Frontières terrestre entre la France et l'Italie";FR del;9-12/5/06;
;"8839/06
Frontières terrestre entre la France et l'Italie";FR del;9-12/5/06;
FILE;DOCUMENT;DELEGATION;Dates concerned;
"Continued…
Temporary reintroduction of border controls on the basis of Article 25 of the Community Code on the rules governing the movement of persons across borders (Schengen Borders Code)";"8543/06
Football World Cup - internal borders";DE del;1/6-10/7/06;
;"6825/06
Border with France: Santiago; Biriatou; Behovia.";ES del;25.2.06;
;"6055/06
Frontières entre la France et l'Italie";FR del;9/2-8/3/06;
;"5148/06
Frontières entre la France et l'Allemagne, l'Espagne et l'Italie,";FR del;9/1/06-8/2/06;
;2005;;;
;"15239/05
Frontières entre la France et l'Allemagne, l'Espagne et l'Italie";FR del;9/1/06-8/2/06;
;"14823/05
Border with France, internal borders";ES del;26-28/11/2005;
;"14139/05
Borders with Germany, Spain and Italy";FR del;9/11/05-9/12/05;
;"13124/05
Borders with Germany, Spain and Italy";FR del;9/10/05-9/11/05;
;"12052/05
Borders with Germany, Spain and Italy";FR del;9/9/05-9/10/05;
;"11909/05
Borders with Germany, Spain and Italy";FR del;9/8/05-9/9/05;
;"11431/05
World Championships in Athletics
- International borders";FI del;24/7/05-14/8/05;
;"11098/05
Borders with Germany, Spain and Italy";FR del;9/7/05-9/8/05;
;"6185/1/05 REV 1
- Frontières entre la France et l'Italie
- Frontières entre la France et l'Espagne";FR del;"7/10/2/05
5/2/05";
FILE;DOCUMENT;DELEGATION;Dates concerned;
"Continued…
Temporary reintroduction of border controls on the basis of Article 25 of the Community Code on the rules governing the movement of persons across borders (Schengen Borders Code)";2004;;;
;"10786/04
Port of Tarifa";ES del;1/7/04-5/8/04;
;"10071/04
Borders with Germany, Spain and Italy";FR del;1/6-8/6/04;
