id,iso3_state,state,neighbour_iso3,neighbour_name,begin,end,check_length,reasons_scope,category,duration
1,FRA,France,DEU,Germany,1999-10-23T00:00:00Z,1999-10-29T00:00:00Z,6,the visit of the President of the Islamic Republic Iran in France,pol_event,1999-10-23 - 1999-10-29
2,FRA,France,ITA,Italy,1999-10-23T00:00:00Z,1999-10-29T00:00:00Z,6,the visit of the President of the Islamic Republic Iran in France,pol_event,1999-10-23 - 1999-10-29
3,FRA,France,ESP,Spain,2005-02-05T00:00:00Z,2005-02-05T00:00:00Z,1,- Frontières entre la France et l'Italie - Frontières entre la France et l'Espagne,demo_event,2005-02-05 - 2005-02-05
4,BEL,Belgium,NLD,Netherlands,2000-01-10T00:00:00Z,2000-01-31T00:00:00Z,21,Frontières intérieures,migration,2000-01-10 - 2000-01-31
5,BEL,Belgium,LUX,Luxembourg,2000-01-10T00:00:00Z,2000-01-31T00:00:00Z,21,Frontières intérieures,migration,2000-01-10 - 2000-01-31
6,BEL,Belgium,FRA,France,2000-01-10T00:00:00Z,2000-01-31T00:00:00Z,21,Frontières intérieures,migration,2000-01-10 - 2000-01-31
7,BEL,Belgium,DEU,Germany,2000-01-10T00:00:00Z,2000-01-31T00:00:00Z,21,Frontières intérieures,migration,2000-01-10 - 2000-01-31
8,LUX,Luxembourg,BEL,Belgium,2000-01-10T00:00:00Z,2000-01-28T00:00:00Z,18,+ Frontières du LUX,migration,2000-01-10 - 2000-01-28
9,LUX,Luxembourg,FRA,France,2000-01-10T00:00:00Z,2000-01-28T00:00:00Z,18,+ Frontières du LUX,migration,2000-01-10 - 2000-01-28
10,LUX,Luxembourg,DEU,Germany,2000-01-10T00:00:00Z,2000-01-28T00:00:00Z,18,+ Frontières du LUX,migration,2000-01-10 - 2000-01-28
11,NLD,Netherlands,DEU,Germany,2000-06-01T00:00:00Z,2000-07-02T00:00:00Z,31,"European football championship BE borders with France, Luxembourg, and Germany NL borders with Germany",sport_event,2000-06-01 - 2000-07-02
12,BEL,Belgium,LUX,Luxembourg,2000-06-01T00:00:00Z,2000-07-02T00:00:00Z,31,"European football championship BE borders with France, Luxembourg, and Germany NL borders with Germany",sport_event,2000-06-01 - 2000-07-02
13,BEL,Belgium,FRA,France,2000-06-01T00:00:00Z,2000-07-02T00:00:00Z,31,"European football championship BE borders with France, Luxembourg, and Germany NL borders with Germany",sport_event,2000-06-01 - 2000-07-02
14,BEL,Belgium,DEU,Germany,2000-06-01T00:00:00Z,2000-07-02T00:00:00Z,31,"European football championship BE borders with France, Luxembourg, and Germany NL borders with Germany",sport_event,2000-06-01 - 2000-07-02
15,DEU,Germany,NLD,Netherlands,2000-07-07T00:00:00Z,2000-07-12T00:00:00Z,5,"Borders with the Netherlands, Belgium, Luxembourg, France and Austria",pol_event,2000-07-07 - 2000-07-12
16,DEU,Germany,BEL,Belgium,2000-07-07T00:00:00Z,2000-07-12T00:00:00Z,5,"Borders with the Netherlands, Belgium, Luxembourg, France and Austria",pol_event,2000-07-07 - 2000-07-12
17,DEU,Germany,LUX,Luxembourg,2000-07-07T00:00:00Z,2000-07-12T00:00:00Z,5,"Borders with the Netherlands, Belgium, Luxembourg, France and Austria",pol_event,2000-07-07 - 2000-07-12
18,DEU,Germany,FRA,France,2000-07-07T00:00:00Z,2000-07-12T00:00:00Z,5,"Borders with the Netherlands, Belgium, Luxembourg, France and Austria",pol_event,2000-07-07 - 2000-07-12
19,DEU,Germany,AUT,Austria,2000-07-07T00:00:00Z,2000-07-12T00:00:00Z,5,"Borders with the Netherlands, Belgium, Luxembourg, France and Austria",pol_event,2000-07-07 - 2000-07-12
20,FRA,France,ESP,Spain,2000-10-10T00:00:00Z,2000-10-14T00:00:00Z,4,Borders with Spain,pol_event,2000-10-10 - 2000-10-14
21,ESP,Spain,FRA,France,2000-10-11T00:00:00Z,2000-10-14T00:00:00Z,3,Borders with France in the provinces of Guipúzcoa and Navarra,pol_event,2000-10-11 - 2000-10-14
22,LUX,Luxembourg,BEL,Belgium,2000-11-25T00:00:00Z,2000-11-29T00:00:00Z,4,Frontières du LUX,pol_event,2000-11-25 - 2000-11-29
23,LUX,Luxembourg,FRA,France,2000-11-25T00:00:00Z,2000-11-29T00:00:00Z,4,Frontières du LUX,pol_event,2000-11-25 - 2000-11-29
24,LUX,Luxembourg,DEU,Germany,2000-11-25T00:00:00Z,2000-11-29T00:00:00Z,4,Frontières du LUX,pol_event,2000-11-25 - 2000-11-29
25,FRA,France,ITA,Italy,2000-12-02T00:00:00Z,2000-12-10T00:00:00Z,8,Borders with Italy,pol_event,2000-12-02 - 2000-12-10
26,ESP,Spain,FRA,France,2000-12-20T00:00:00Z,2000-12-31T00:00:00Z,11,Borders with France on the Velley of Arán,pol_event,2000-12-20 - 2001-01-07
27,ESP,Spain,FRA,France,2001-01-01T00:00:00Z,2001-01-07T00:00:00Z,6,Borders with France on the Velley of Arán,pol_event,2000-12-20 - 2001-01-07
28,BEL,Belgium,NLD,Netherlands,2000-12-26T00:00:00Z,2000-12-31T00:00:00Z,5,Internal borders,migration,2000-12-26 - 2001-01-10
29,BEL,Belgium,LUX,Luxembourg,2000-12-26T00:00:00Z,2000-12-31T00:00:00Z,5,Internal borders,migration,2000-12-26 - 2001-01-10
30,BEL,Belgium,FRA,France,2000-12-26T00:00:00Z,2000-12-31T00:00:00Z,5,Internal borders,migration,2000-12-26 - 2001-01-10
31,BEL,Belgium,DEU,Germany,2000-12-26T00:00:00Z,2000-12-31T00:00:00Z,5,Internal borders,migration,2000-12-26 - 2001-01-10
32,BEL,Belgium,NLD,Netherlands,2001-01-01T00:00:00Z,2001-01-10T00:00:00Z,9,Internal borders,migration,2000-12-26 - 2001-01-10
33,BEL,Belgium,LUX,Luxembourg,2001-01-01T00:00:00Z,2001-01-10T00:00:00Z,9,Internal borders,migration,2000-12-26 - 2001-01-10
34,BEL,Belgium,FRA,France,2001-01-01T00:00:00Z,2001-01-10T00:00:00Z,9,Internal borders,migration,2000-12-26 - 2001-01-10
35,BEL,Belgium,DEU,Germany,2001-01-01T00:00:00Z,2001-01-10T00:00:00Z,9,Internal borders,migration,2000-12-26 - 2001-01-10
36,AUT,Austria,DEU,Germany,2001-06-25T00:00:00Z,2001-07-03T00:00:00Z,8,Borders with Germany and Italy and Salzburg airport,pol_event,2001-06-25 - 2001-07-03
37,AUT,Austria,ITA,Italy,2001-06-25T00:00:00Z,2001-07-03T00:00:00Z,8,Borders with Germany and Italy and Salzburg airport,pol_event,2001-06-25 - 2001-07-03
38,ITA,Italy,FRA,France,2001-07-14T00:00:00Z,2001-07-21T00:00:00Z,7,Internal borders,pol_event,2001-07-14 - 2001-07-21
39,ITA,Italy,AUT,Austria,2001-07-14T00:00:00Z,2001-07-21T00:00:00Z,7,Internal borders,pol_event,2001-07-14 - 2001-07-21
40,LUX,Luxembourg,BEL,Belgium,2001-12-03T00:00:00Z,2001-12-31T00:00:00Z,28,"Borders with Germany, Belgium and France",crime,2001-12-03 - 2002-02-01
41,LUX,Luxembourg,FRA,France,2001-12-03T00:00:00Z,2001-12-31T00:00:00Z,28,"Borders with Germany, Belgium and France",crime,2001-12-03 - 2002-02-01
42,LUX,Luxembourg,DEU,Germany,2001-12-03T00:00:00Z,2001-12-31T00:00:00Z,28,"Borders with Germany, Belgium and France",crime,2001-12-03 - 2002-02-01
43,LUX,Luxembourg,BEL,Belgium,2002-01-01T00:00:00Z,2002-02-01T00:00:00Z,31,"Borders with Germany, Belgium and France",crime,2001-12-03 - 2002-02-01
44,LUX,Luxembourg,FRA,France,2002-01-01T00:00:00Z,2002-02-01T00:00:00Z,31,"Borders with Germany, Belgium and France",crime,2001-12-03 - 2002-02-01
45,LUX,Luxembourg,DEU,Germany,2002-01-01T00:00:00Z,2002-02-01T00:00:00Z,31,"Borders with Germany, Belgium and France",crime,2001-12-03 - 2002-02-01
46,NOR,Norway,SWE,Sweden,2001-12-05T00:00:00Z,2001-12-12T00:00:00Z,7,Internal borders in the south-east part of Norway,other_event,2001-12-05 - 2001-12-12
47,ESP,Spain,FRA,France,2001-12-20T00:00:00Z,2001-12-31T00:00:00Z,11,Pas de document Frontier in the province of Lleida,,2001-12-20 - 2002-01-07
48,ESP,Spain,FRA,France,2002-01-01T00:00:00Z,2002-01-07T00:00:00Z,6,Pas de document Frontier in the province of Lleida,,2001-12-20 - 2002-01-07
49,ESP,Spain,FRA,France,2002-01-30T00:00:00Z,2002-02-04T00:00:00Z,5,Franco-Spanish border in Catalonia,pol_event,2002-01-30 - 2002-02-04
50,AUT,Austria,DEU,Germany,2002-03-07T00:00:00Z,2002-03-13T00:00:00Z,6,"Borders to Germany and Italy as well as Vienna, Linz, Salzburg, Innsbruck, Graz and Klagenfurt airports",pol_event,2002-03-07 - 2002-03-13
51,AUT,Austria,ITA,Italy,2002-03-07T00:00:00Z,2002-03-13T00:00:00Z,6,"Borders to Germany and Italy as well as Vienna, Linz, Salzburg, Innsbruck, Graz and Klagenfurt airports",pol_event,2002-03-07 - 2002-03-13
52,ESP,Spain,FRA,France,2002-03-09T00:00:00Z,2002-03-18T00:00:00Z,9,"Barcelona airport and port, Girona airport and border posts at Port Bou, La Junquera, Camprodón and Puigcerdá, Les Lerida and Tarragona port and Reus airport",pol_event,2002-03-09 - 2002-03-18
53,ESP,Spain,FRA,France,2002-03-21T00:00:00Z,2002-03-23T00:00:00Z,2,"Borders in Girona, Lleida, Huesca, Navarra and Guipozcoa",pol_event,2002-03-21 - 2002-03-23
54,NOR,Norway,SWE,Sweden,2002-06-15T00:00:00Z,2002-06-27T00:00:00Z,12,"Internal land, sea and air borders",pol_event,2002-06-15 - 2002-06-27
55,ESP,Spain,FRA,France,2002-06-14T00:00:00Z,2002-06-22T00:00:00Z,8,"Borders with France and Portugal, Madrid Barajas, Seville and Malaga airports",pol_event,2002-06-14 - 2002-06-22
56,ESP,Spain,PRT,Portugal,2002-06-14T00:00:00Z,2002-06-22T00:00:00Z,8,"Borders with France and Portugal, Madrid Barajas, Seville and Malaga airports",pol_event,2002-06-14 - 2002-06-22
57,AUT,Austria,DEU,Germany,2002-09-09T00:00:00Z,2002-09-17T00:00:00Z,8,Borders with Germany and Italy and at Salzburg airport,pol_event,2002-09-09 - 2002-09-17
58,AUT,Austria,ITA,Italy,2002-09-09T00:00:00Z,2002-09-17T00:00:00Z,8,Borders with Germany and Italy and at Salzburg airport,pol_event,2002-09-09 - 2002-09-17
59,FRA,France,ESP,Spain,2002-10-19T00:00:00Z,2002-10-19T00:00:00Z,1,Borders with Spain,demo_event,2002-10-19 - 2002-10-19
60,ITA,Italy,FRA,France,2002-11-01T00:00:00Z,2002-11-10T00:00:00Z,9,International borders,pol_event,2002-11-01 - 2002-11-10
61,ITA,Italy,AUT,Austria,2002-11-01T00:00:00Z,2002-11-10T00:00:00Z,9,International borders,pol_event,2002-11-01 - 2002-11-10
62,DNK,Denmark,DEU,Germany,2002-12-06T00:00:00Z,2002-12-14T00:00:00Z,8,International borders,pol_event,2002-12-06 - 2002-12-14
63,DNK,Denmark,SWE,Sweden,2002-12-06T00:00:00Z,2002-12-14T00:00:00Z,8,International borders,pol_event,2002-12-06 - 2002-12-14
64,SWE,Sweden,DNK,Denmark,2002-12-06T00:00:00Z,2002-12-14T00:00:00Z,8,Borders in Scania,pol_event,2002-12-06 - 2002-12-14
65,ESP,Spain,FRA,France,2002-12-20T00:00:00Z,2002-12-31T00:00:00Z,11,Frontier in the province of Lleida,other_event,2002-12-20 - 2003-01-07
66,ESP,Spain,FRA,France,2003-01-01T00:00:00Z,2003-01-07T00:00:00Z,6,Frontier in the province of Lleida,other_event,2002-12-20 - 2003-01-07
67,FRA,France,ESP,Spain,2003-03-02T00:00:00Z,2003-03-02T00:00:00Z,1,Pas de document Frontières entre la France et l'Espagne,,2003-03-02 - 2003-03-02
68,FRA,France,BEL,Belgium,2003-05-22T00:00:00Z,2003-06-03T00:00:00Z,12,"Borders with Germany, Belgium, Spain, Italy and Luxembourg",pol_event,2003-05-22 - 2003-06-03
69,FRA,France,LUX,Luxembourg,2003-05-22T00:00:00Z,2003-06-03T00:00:00Z,12,"Borders with Germany, Belgium, Spain, Italy and Luxembourg",pol_event,2003-05-22 - 2003-06-03
70,FRA,France,ESP,Spain,2003-05-22T00:00:00Z,2003-06-03T00:00:00Z,12,"Borders with Germany, Belgium, Spain, Italy and Luxembourg",pol_event,2003-05-22 - 2003-06-03
